Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Sun Jan 1 2017,6:00 pm,San Antonio Spurs,112,Atlanta Hawks,114,Box Score,OT,
Sun Jan 1 2017,6:00 pm,Orlando Magic,104,Indiana Pacers,117,Box Score,,
Sun Jan 1 2017,9:30 pm,Toronto Raptors,123,Los Angeles Lakers,114,Box Score,,
Sun Jan 1 2017,6:00 pm,Detroit Pistons,107,Miami Heat,98,Box Score,,
Sun Jan 1 2017,7:00 pm,Portland Trail Blazers,95,Minnesota Timberwolves,89,Box Score,,
Mon Jan 2 2017,7:30 pm,Utah Jazz,101,Brooklyn Nets,89,Box Score,,
Mon Jan 2 2017,8:00 pm,Charlotte Hornets,111,Chicago Bulls,118,Box Score,,
Mon Jan 2 2017,7:00 pm,New Orleans Pelicans,82,Cleveland Cavaliers,90,Box Score,,
Mon Jan 2 2017,10:30 pm,Denver Nuggets,119,Golden State Warriors,127,Box Score,,
Mon Jan 2 2017,8:00 pm,Washington Wizards,91,Houston Rockets,101,Box Score,,
Mon Jan 2 2017,10:30 pm,Phoenix Suns,98,Los Angeles Clippers,109,Box Score,,
Mon Jan 2 2017,7:00 pm,Oklahoma City Thunder,94,Milwaukee Bucks,98,Box Score,,
Mon Jan 2 2017,7:30 pm,Orlando Magic,115,New York Knicks,103,Box Score,,
Tue Jan 3 2017,7:30 pm,Utah Jazz,104,Boston Celtics,115,Box Score,,
Tue Jan 3 2017,8:30 pm,Washington Wizards,105,Dallas Mavericks,113,Box Score,,
Tue Jan 3 2017,9:00 pm,Sacramento Kings,120,Denver Nuggets,113,Box Score,,
Tue Jan 3 2017,7:30 pm,Indiana Pacers,121,Detroit Pistons,116,Box Score,,
Tue Jan 3 2017,10:30 pm,Memphis Grizzlies,102,Los Angeles Lakers,116,Box Score,,
Tue Jan 3 2017,7:00 pm,Minnesota Timberwolves,91,Philadelphia 76ers,93,Box Score,,
Tue Jan 3 2017,9:00 pm,Miami Heat,90,Phoenix Suns,99,Box Score,,
Tue Jan 3 2017,8:30 pm,Toronto Raptors,82,San Antonio Spurs,110,Box Score,,
Wed Jan 4 2017,7:00 pm,Oklahoma City Thunder,112,Charlotte Hornets,123,Box Score,,
Wed Jan 4 2017,8:00 pm,Chicago Bulls,106,Cleveland Cavaliers,94,Box Score,,
Wed Jan 4 2017,10:30 pm,Portland Trail Blazers,117,Golden State Warriors,125,Box Score,,
Wed Jan 4 2017,10:30 pm,Memphis Grizzlies,106,Los Angeles Clippers,115,Box Score,,
Wed Jan 4 2017,7:30 pm,Milwaukee Bucks,105,New York Knicks,104,Box Score,,
Wed Jan 4 2017,7:00 pm,Atlanta Hawks,111,Orlando Magic,92,Box Score,,
Wed Jan 4 2017,10:30 pm,Miami Heat,107,Sacramento Kings,102,Box Score,,
Thu Jan 5 2017,8:30 pm,Phoenix Suns,102,Dallas Mavericks,95,Box Score,,
Thu Jan 5 2017,9:00 pm,San Antonio Spurs,127,Denver Nuggets,99,Box Score,,
Thu Jan 5 2017,7:30 pm,Charlotte Hornets,114,Detroit Pistons,115,Box Score,,
Thu Jan 5 2017,8:00 pm,Oklahoma City Thunder,116,Houston Rockets,118,Box Score,,
Thu Jan 5 2017,7:00 pm,Brooklyn Nets,109,Indiana Pacers,121,Box Score,,
Thu Jan 5 2017,8:00 pm,Atlanta Hawks,99,New Orleans Pelicans,94,Box Score,,
Thu Jan 5 2017,10:30 pm,Los Angeles Lakers,109,Portland Trail Blazers,118,Box Score,,
Thu Jan 5 2017,7:30 pm,Utah Jazz,93,Toronto Raptors,101,Box Score,,
Fri Jan 6 2017,7:30 pm,Philadelphia 76ers,106,Boston Celtics,110,Box Score,,
Fri Jan 6 2017,7:30 pm,Cleveland Cavaliers,116,Brooklyn Nets,108,Box Score,,
Fri Jan 6 2017,10:30 pm,Memphis Grizzlies,128,Golden State Warriors,119,Box Score,OT,
Fri Jan 6 2017,10:30 pm,Miami Heat,100,Los Angeles Lakers,127,Box Score,,
Fri Jan 6 2017,8:00 pm,New York Knicks,116,Milwaukee Bucks,111,Box Score,,
Fri Jan 6 2017,7:00 pm,Houston Rockets,100,Orlando Magic,93,Box Score,,
Fri Jan 6 2017,10:30 pm,Los Angeles Clippers,106,Sacramento Kings,98,Box Score,,
Fri Jan 6 2017,7:00 pm,Minnesota Timberwolves,105,Washington Wizards,112,Box Score,,
Sat Jan 7 2017,7:30 pm,New Orleans Pelicans,108,Boston Celtics,117,Box Score,,
Sat Jan 7 2017,8:00 pm,Toronto Raptors,118,Chicago Bulls,123,Box Score,OT,
